"country","collection_date","meta_key","geo_name","agesex","dau","mau_lower","mau_upper","pop_dau","pop_mau_lower","pop_mau_upper"
"JO",2023-10-22,1881,"Irbid Governorate","T_20Plus",228948,210200,247300,1205868.78455135,1198164.0895555,1198236.2034667
"JO",2023-10-22,1882,"Amman Governorate","T_20Plus",715675,664000,781100,2742224.60041494,2747370.31720283,2747513.15725842
"JO",2023-10-22,4335,"Ajloun Governorate","T_20Plus",26511,25700,30200,102778.291571896,112209.374271103,111797.484872592
"JO",2023-10-22,4336,"Jerash Governorate","T_20Plus",57145,50500,59400,156254.758852584,157234.064037174,157120.436576256
"JO",2023-10-22,4337,"Madaba Governorate","T_20Plus",39241,34200,40200,125202.980357951,115878.082579328,115629.41989616
"JO",2023-10-22,4338,"Aqaba Governorate","T_20Plus",39989,35200,41500,115288.711862468,111277.725396389,111742.435601818
"JO",2023-10-23,1875,"Balqa Governorate","T_20Plus",128759,116400,136900,322503.247354931,313526.055713094,313465.692783427
"JO",2023-10-23,1877,"Karak Governorate","T_20Plus",47754,42400,49800,205780.996793375,205013.29065394,204610.272033191
"JO",2023-10-23,1878,"Mafraq Governorate","T_20Plus",64972,60400,71100,358666.058164741,359705.742384365,359636.958341522
"JO",2023-10-23,1879,"Tafilah Governorate","T_20Plus",22845,21300,25100,61136.0179132125,63635.125230309,63809.9663314327
"JO",2023-10-23,1880,"Zarqa Governorate","T_20Plus",199242,185200,217800,895813.433083896,928636.711098437,928373.446557351
"JO",2023-10-23,1881,"Irbid Governorate","T_20Plus",230653,209000,245900,1210914.6330063,1196803.01939896,1197047.96735594
"JO",2023-10-23,1882,"Amman Governorate","T_20Plus",721314,660000,776500,2754880.45648803,2743379.32056792,2744159.225692
"JO",2023-10-23,4335,"Ajloun Governorate","T_20Plus",27247,25500,30000,105289.532438618,111848.200268868,111578.636236586
"JO",2023-10-23,4336,"Jerash Governorate","T_20Plus",56676,50500,59400,154470.455880312,157957.205738297,157858.285319286
"JO",2023-10-23,4337,"Madaba Governorate","T_20Plus",39241,34300,40300,124797.500660185,116751.405378019,116461.410003466
"JO",2023-10-23,4338,"Aqaba Governorate","T_20Plus",39836,35100,41300,114475.668216394,111471.923567792,111726.139345792
"JO",2023-10-24,1875,"Balqa Governorate","T_20Plus",129782,116500,137000,325607.285370957,313053.218176649,312960.923364603
"JO",2023-10-24,1877,"Karak Governorate","T_20Plus",48227,42100,49500,208165.576083772,203081.257765041,202901.971987666
"JO",2023-10-24,1878,"Mafraq Governorate","T_20Plus",64395,61100,71900,356073.24775554,363013.880469891,362832.836991584
"JO",2023-10-24,1879,"Tafilah Governorate","T_20Plus",21375,20900,24600,57297.4458311948,62292.4158984113,62392.5707377833
"JO",2023-10-24,1880,"Zarqa Governorate","T_20Plus",201228,184400,216900,906250.466003737,922438.394899546,922374.66536827
"JO",2023-10-24,1881,"Irbid Governorate","T_20Plus",229210,209600,246600,1205344.3457342,1197400.00917445,1197647.67583834
"JO",2023-10-24,1882,"Amman Governorate","T_20Plus",718914,663200,780200,2750290.01275665,2750160.44471853,2750785.78833429
"JO",2023-10-24,4335,"Ajloun Governorate","T_20Plus",27616,25600,30100,106893.287378205,112021.239545001,111688.708440507
"JO",2023-10-24,4336,"Jerash Governorate","T_20Plus",56910,50500,59400,155366.712502368,157583.604892684,157489.048850783
"JO",2023-10-24,4337,"Madaba Governorate","T_20Plus",38402,34300,40300,122332.77261034,116475.264612095,116189.002383812
"JO",2023-10-24,4338,"Aqaba Governorate","T_20Plus",39989,35100,41300,115106.847973032,111208.269847707,111464.807702363
"JO",2023-10-25,1875,"Balqa Governorate","T_20Plus",131215,115700,136100,329034.382187536,310995.409103221,310974.623225196
"JO",2023-10-25,1877,"Karak Governorate","T_20Plus",48858,41900,49300,210781.502818111,202176.253024611,202127.435576894
"JO",2023-10-25,1878,"Mafraq Governorate","T_20Plus",65295,60700,71500,360865.422150733,360743.97296993,360895.123471774
"JO",2023-10-25,1879,"Tafilah Governorate","T_20Plus",21375,21100,24800,57268.1835855695,62907.1073435411,62913.9179464823
"JO",2023-10-25,1880,"Zarqa Governorate","T_20Plus",189299,184100,216500,852091.626828117,921209.939062507,920879.896857802
"JO",2023-10-25,1881,"Irbid Governorate","T_20Plus",234718,209700,246700,1233678.83932136,1198325.44481098,1198401.74037486
"JO",2023-10-25,1882,"Amman Governorate","T_20Plus",721914,664400,781600,2760356.40984758,2755951.11234713,2756339.1549003
"JO",2023-10-25,4335,"Ajloun Governorate","T_20Plus",27984,26100,30700,108262.386776253,114242.918104093,113940.580171662
"JO",2023-10-25,4336,"Jerash Governorate","T_20Plus",58316,50300,59100,159123.844811007,157005.913447158,156728.751419798
